flight_issues.flightnum,flight_issues.num_delays,flight_issues.avg_delay,flight_issues.total_delay,flight_issues.num_cancellations
6,1338,28.77578475336323,38502,20
14,1334,28.85007496251874,38486,56
1174,1188,32.37373737373738,38460,44
361,1443,26.638253638253637,38439,34
553,1634,23.479192166462667,38365,53
225,1408,27.242897727272727,38358,36
1085,1029,37.26919339164237,38350,31
565,1135,33.77180616740088,38331,28
323,1239,30.922518159806295,38313,37
239,1559,24.56510583707505,38297,45
1124,1222,31.312602291325696,38264,32
279,1201,31.857618651124064,38261,44
759,1224,31.25653594771242,38258,54
1152,1281,29.861826697892273,38253,25
1196,1350,28.322222222222223,38235,31
862,1150,33.23826086956522,38224,26
33,1341,28.463832960477255,38170,103
698,1176,32.425170068027214,38132,23
164,1409,27.01348474095103,38062,42
1548,1536,24.779296875,38061,40
475,1404,27.075498575498575,38014,49
446,1376,27.619912790697676,38005,54
300,1660,22.8855421686747,37990,28
983,1320,28.778787878787877,37988,32
469,1285,29.529961089494165,37946,41
792,1436,26.392061281337046,37899,52
1271,1255,30.164940239043826,37857,33
659,1320,28.66287878787879,37835,55
237,1257,30.081145584725537,37812,35
293,1534,24.63754889178618,37794,48
1975,1153,32.77536860364267,37790,24
510,1643,22.9811320754717,37758,45
784,1290,29.251162790697673,37734,21
879,1156,32.608131487889274,37695,12
319,1187,31.728727885425442,37662,37
1293,1276,29.514890282131663,37661,36
1273,1251,30.104716227018386,37661,35
107,1626,23.15928659286593,37657,25
642,1265,29.7399209486166,37621,30
924,1252,30.03993610223642,37610,21
668,1432,26.229748603351954,37561,34
893,1247,30.11066559743384,37548,31
443,1203,31.185369908561928,37516,49
201,1256,29.804140127388536,37434,43
266,1423,26.30147575544624,37427,24
166,1230,30.37560975609756,37362,26
1184,1085,34.43041474654378,37357,67
878,1337,27.93418100224383,37348,49
606,1578,23.663498098859314,37341,37
1234,1311,28.48131197559115,37339,26
91,1329,28.081264108352144,37320,16
844,1533,24.334637964774952,37305,34
176,1525,24.448524590163935,37284,30
562,1415,26.337102473498234,37267,46
423,1601,23.255465334166146,37232,62
193,1345,27.617843866171004,37146,41
586,1334,27.840329835082457,37139,40
1037,1217,30.493015612161052,37110,32
291,1546,23.99482535575679,37096,47
930,910,40.71758241758242,37053,19
292,1684,21.982779097387173,37019,28
261,1306,28.34456355283308,37018,34
1016,1049,35.272640610104865,37001,36
186,1688,21.919431279620852,37000,32
258,1372,26.91253644314869,36924,19
1868,1305,28.277394636015327,36902,34
436,1362,27.087371512481646,36893,31
448,1385,26.63321299638989,36887,32
395,1571,23.422024188415023,36796,35
182,1602,22.923220973782772,36723,29
597,1221,30.032760032760034,36670,20
1009,1475,24.848813559322036,36652,40
1244,1342,27.284649776453055,36616,32
354,1225,29.884897959183675,36609,40
348,1305,28.00919540229885,36552,27
358,1123,32.502226179875336,36500,59
281,1162,31.395869191049915,36482,49
240,1323,27.566137566137566,36470,33
730,1359,26.835172921265638,36469,32
489,1175,31.025531914893616,36455,41
620,1560,23.36730769230769,36453,39
870,1215,29.990946502057614,36439,57
351,1190,30.61764705882353,36435,68
1924,1187,30.67481044650379,36411,43
843,1389,26.153347732181427,36327,29
1019,1325,27.390188679245284,36292,32
769,1267,28.642462509865826,36290,32
1803,1033,35.110358180058086,36269,39
557,1393,25.99353912419239,36209,46
749,1482,24.42037786774629,36191,24
59,1170,30.924786324786325,36182,45
1172,1272,28.413522012578618,36142,41
115,1329,27.19262603461249,36139,24
644,1671,21.624775583482943,36135,25
273,1595,22.625705329153604,36088,57
772,1231,29.30625507717303,36076,65
181,1360,26.523529411764706,36072,20
26,1390,25.948920863309354,36069,48
1620,1050,34.343809523809526,36061,54
289,1194,30.169179229480736,36022,28
257,1467,24.552828902522155,36019,27
1126,1179,30.533502968617473,35999,23
890,1559,23.08338678640154,35987,62
152,1383,26.020968908170644,35987,54
179,1358,26.497054491899853,35983,9
1095,1098,32.73406193078324,35942,46
2128,970,37.00721649484536,35897,29
636,1469,24.412525527569777,35862,52
722,1053,34.01329534662868,35816,26
755,1167,30.673521850899743,35796,35
1161,1169,30.57656116338751,35744,37
450,1331,26.854244928625093,35743,42
409,1373,26.010924981791696,35713,19
995,1287,27.735819735819735,35696,36
675,1143,31.22484689413823,35690,33
690,1337,26.68735976065819,35681,46
1087,1211,29.45251857968621,35667,37
632,1225,29.097142857142856,35644,16
503,1202,29.623128119800334,35607,26
12,1650,21.553333333333335,35563,43
556,1351,26.31902294596595,35557,50
198,1342,26.47317436661699,35527,31
369,1505,23.605980066445184,35527,28
1261,1183,30.011834319526628,35504,36
235,1224,28.987745098039216,35481,20
1219,1046,33.80497131931166,35360,55
105,1295,27.302702702702703,35357,16
866,1040,33.99230769230769,35352,40
835,1152,30.6796875,35343,34
651,943,37.47932131495228,35343,17
1733,972,36.348765432098766,35331,56
1182,887,39.81397970687711,35315,26
700,1344,26.272321428571427,35310,35
131,1199,29.447039199332778,35307,52
129,1209,29.193548387096776,35295,26
1084,1255,28.121912350597608,35293,48
1156,1076,32.773234200743495,35264,23
120,1404,25.08190883190883,35215,37
629,1124,31.319395017793596,35203,32
1024,1310,26.862595419847327,35190,48
1655,944,37.25741525423729,35171,28
1125,1440,24.405555555555555,35144,33
771,1330,26.406766917293233,35121,22
100,1590,22.065408805031446,35084,33
327,1134,30.92151675485009,35065,21
256,1653,21.211736237144585,35063,31
63,1376,25.46293604651163,35037,22
1158,1093,32.05032021957914,35031,33
500,1485,23.58989898989899,35031,21
803,1558,22.47625160462131,35018,42
1524,1250,28.0024,35003,30
1134,997,35.09027081243731,34985,55
763,1369,25.54127100073046,34966,53
407,1271,27.510621557828483,34966,33
1718,1150,30.394782608695653,34954,51
1400,1258,27.775039745627982,34941,37
663,1163,30.0335339638865,34929,38
748,1285,27.17898832684825,34925,36
823,1130,30.876106194690266,34890,32
896,970,35.950515463917526,34872,42
1257,1229,28.367778681855167,34864,19
317,1219,28.59146841673503,34853,30
303,1482,23.516194331983804,34851,56
401,1433,24.295882763433358,34816,58
192,1653,21.04355716878403,34785,46
1017,1203,28.915211970074814,34785,43
1423,1372,25.341836734693878,34769,37
740,1427,24.359495444989488,34761,34
477,1337,25.98952879581152,34748,31
1176,1146,30.31762652705061,34744,33
356,1063,32.683913452492945,34743,23
873,1146,30.30279232111693,34727,39
1568,1030,33.70970873786408,34721,39
1250,1265,27.444268774703556,34717,52
590,1460,23.767808219178082,34701,26
694,1286,26.972783825816485,34687,51
1107,1175,29.517446808510638,34683,48
1606,1318,26.313353566009106,34681,28
18,1251,27.721023181454836,34679,55
905,1240,27.966129032258063,34678,12
274,1396,24.81590257879656,34643,37
236,1228,28.19299674267101,34621,38
73,1377,25.131445170660857,34606,48
799,1283,26.954793452844896,34583,41
552,1243,27.79485116653258,34549,30
144,1399,24.676912080057182,34523,56
